time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-29T10:01:36.918Z,-28.2771,-67.4825,119.72,4.5,mb,,47,2.049,0.78,us,us60004wzk,2019-07-29T11:16:32.040Z,"25km SSE of Tinogasta, Argentina",earthquake,7.8,8.7,0.058,88,reviewed,us,us
2019-07-28T11:16:56.730Z,-24.1272,-67.1311,209.54,4.1,mb,,59,1.514,0.72,us,us60004wr5,2019-07-28T11:52:41.040Z,"83km W of San Antonio de los Cobres, Argentina",earthquake,9.8,9.6,0.213,6,reviewed,us,us
2019-07-27T05:15:49.343Z,-24.2585,-67.3734,195.11,4,mb,,74,1.495,0.56,us,us60004wdc,2019-07-27T06:23:37.040Z,"107km W of San Antonio de los Cobres, Argentina",earthquake,8.7,8.8,0.231,5,reviewed,us,us
2019-07-26T23:22:26.265Z,-29.3847,-72.0229,9.56,4.4,mwr,,134,0.865,0.64,us,us60004w8g,2019-07-27T21:45:40.040Z,"91km NW of Coquimbo, Chile",earthquake,3.8,5.9,,,reviewed,us,guc
2019-07-26T07:38:02.308Z,-19.7661,-70.8364,17.63,4.3,mwr,,117,0.831,0.78,us,us60004vs3,2019-07-26T08:12:07.040Z,"88km NW of Iquique, Chile",earthquake,4.9,3.2,0.048,41,reviewed,us,us
2019-07-26T01:56:51.923Z,-18.5755,-71.237,34.29,4.3,mwr,,145,0.873,1.03,us,us60004vp6,2019-07-26T02:19:44.040Z,"99km W of Arica, Chile",earthquake,8.1,7.3,,,reviewed,us,guc
2019-07-24T16:42:14.606Z,-22.4672,-69.0515,108.76,4.3,mb,,53,0.536,0.33,us,us60004uvg,2019-07-24T22:37:06.040Z,"12km W of Calama, Chile",earthquake,2.6,5.9,0.201,7,reviewed,us,us
2019-07-24T14:16:39.547Z,-31.283,-69.031,131.6,4.5,mb,,165,1.49,1.21,us,us60004urv,2019-07-25T05:33:39.040Z,"36km E of Calingasta, Argentina",earthquake,9.5,9.7,0.205,7,reviewed,us,us
2019-07-24T10:06:46.606Z,-25.8454,-69.0937,108.05,4.2,mb,,83,0.814,0.89,us,us60004um9,2019-07-24T10:27:04.040Z,"111km ENE of Diego de Almagro, Chile",earthquake,7.2,4.9,0.176,9,reviewed,us,us
2019-07-23T18:40:00.104Z,-31.646,-69.6369,115.8,4.7,mb,,65,0.819,1.03,us,us60004u87,2019-07-24T22:02:20.244Z,"41km SSW of Calingasta, Argentina",earthquake,2.7,6.8,0.174,10,reviewed,us,us
2019-07-22T18:05:14.247Z,-21.329,-68.1995,184.57,4,ml,,179,1.076,0.82,us,us70004qn1,2019-07-23T23:31:17.040Z,"147km NNE of Calama, Chile",earthquake,8.7,13,,,reviewed,us,guc
2019-07-21T07:29:19.157Z,-31.3686,-70.7343,104.11,4.3,mb,,101,0.28,0.47,us,us70004pz0,2019-07-21T08:30:43.040Z,"50km NE of Illapel, Chile",earthquake,3.6,5.7,0.168,10,reviewed,us,us
2019-07-19T12:12:15.777Z,-23.9069,-67.4136,241.57,4.1,mb,,92,1.182,0.89,us,us70004ntt,2019-07-22T12:25:06.040Z,"116km WNW of San Antonio de los Cobres, Argentina",earthquake,8.7,9.1,0.197,7,reviewed,us,us
2019-07-19T01:18:24.384Z,-20.8423,-67.2812,189.56,4.9,mb,,27,1.888,1.01,us,us70004nll,2019-07-19T23:41:10.951Z,"63km SW of Uyuni, Bolivia",earthquake,7.6,6.9,0.028,402,reviewed,us,us
2019-07-18T08:57:13.155Z,-27.895,-66.8025,166.96,4.2,mb,,69,2.322,0.73,us,us70004mxx,2019-07-18T09:45:59.654Z,"35km SE of Belen, Argentina",earthquake,10.6,13,0.216,6,reviewed,us,us
2019-07-16T03:19:48.620Z,-36.6673,-73.0811,32.67,2.9,ml,,144,0.119,0.5,us,us70004lsv,2019-07-16T21:06:33.095Z,"6km NNE of Talcahuano, Chile",earthquake,10.6,4.5,0.071,26,reviewed,us,us
2019-07-14T15:56:39.758Z,-33.129,-70.572,92.13,4.3,mb,,36,0.087,0.56,us,us70004k48,2019-07-24T16:35:44.752Z,"32km S of Los Andes, Chile",earthquake,3.8,5.9,0.16,11,reviewed,us,us
2019-07-14T02:25:09.595Z,-29.6335,-68.3444,110.36,4.5,mb,,71,1.558,0.89,us,us70004jvj,2019-07-14T02:52:44.040Z,"77km NNE of San Jose de Jachal, Argentina",earthquake,7.7,8.3,0.055,99,reviewed,us,us
2019-07-13T01:02:23.290Z,-30.828,-71.5092,46.97,4.5,mb,,142,0.188,1.16,us,us70004jeb,2019-07-13T01:38:05.664Z,"39km SW of Ovalle, Chile",earthquake,7.1,3.5,0.22,7,reviewed,us,us
2019-07-12T09:25:03.034Z,-30.7569,-71.4896,50.64,4.6,mb,,43,0.15,0.72,us,us70004iw6,2019-07-12T20:59:50.241Z,"32km WSW of Ovalle, Chile",earthquake,4.7,4.5,0.071,59,reviewed,us,us
2019-07-12T08:22:49.179Z,-21.5882,-68.5005,131.43,4.4,mb,,45,0.719,0.65,us,us70004iv9,2019-07-12T08:58:02.040Z,"107km NNE of Calama, Chile",earthquake,6,9,0.17,10,reviewed,us,us
2019-07-12T07:24:37.836Z,-20.7767,-70.5132,27.53,4.4,mwr,,145,0.34,0.76,us,us70004itm,2019-07-12T19:43:53.680Z,"72km SSW of Iquique, Chile",earthquake,5.5,5.1,0.055,32,reviewed,us,us
2019-07-11T02:17:21.217Z,-27.6378,-67.53,145.49,4.4,mb,,65,1.632,0.65,us,us70004hj4,2019-07-11T02:29:04.040Z,"9km ENE of Fiambala, Argentina",earthquake,8.1,15.7,0.18,9,reviewed,us,us
2019-07-10T14:58:16.316Z,-33.3071,-73.0393,11.93,4.4,mb,,151,1.209,0.72,us,us70004gvb,2019-07-11T06:32:53.040Z,"135km WSW of Valparaiso, Chile",earthquake,6.8,2.8,0.138,15,reviewed,us,us
2019-07-09T01:07:56.003Z,-36.7692,-70.8284,149.87,4.7,mb,,68,0.372,0.9,us,us70004fdj,2019-07-09T01:24:06.040Z,"25km NNW of Las Ovejas, Argentina",earthquake,5.4,9.4,0.126,19,reviewed,us,us
2019-07-08T21:05:37.965Z,-18.1492,-70.1569,101.23,4,mb,,134,0.281,0.92,us,us70004f5w,2019-07-19T01:57:53.040Z,"18km SSE of Tacna, Peru",earthquake,8.5,4.3,0.183,8,reviewed,us,us
2019-07-08T16:05:53.815Z,-18.5954,-70.0033,84.99,4.1,mb,,120,0.391,0.43,us,us70004eun,2019-07-23T15:54:00.040Z,"34km ESE of Arica, Chile",earthquake,9.3,8.7,0.37,2,reviewed,us,us
2019-07-08T12:17:55.518Z,-24.2553,-67.2082,187.56,4.1,mb,,75,1.573,1.18,us,us70004ep5,2019-07-11T06:23:22.040Z,"90km W of San Antonio de los Cobres, Argentina",earthquake,10.9,11.4,0.234,5,reviewed,us,us
