DATE,LATITUDE,LONGITUDE,DEPTH,GAP,MAGNITUDE,MAGTYPE,DMIN,RMS,PLACE,TSUNAMI
1901-08-09 18:33:00.000,40,144,0,,7.5,mw,,,"off the east coast of Honshu, Japan",1
1905-09-08 01:43:02.000,38.636,15.784,15,,7.2,mw,,,"Sicily, Italy",1
1906-01-31 15:36:10.000,0.955,-79.369,20,,8.8,mw,,,1906 Ecuador-Colombia Earthquake,1
1906-09-14 16:04:43.000,-6.249,147.281,35,,8,mw,,,"eastern New Guinea region, Papua New Guinea",1
1907-01-04 05:19:11.000,1.873,94.209,15,,7.8,mw,,,off the west coast of northern Sumatra,1
1914-05-26 14:22:47.000,-1.829,136.943,15,,8.1,mw,,,"Biak region, Indonesia",1
1917-05-01 18:26:20.000,-31.08,-176.461,15,,8.2,mw,,,Kermadec Islands region,1
1918-08-15 12:18:21.000,5.967,124.377,20,,8.3,mw,,,"Mindanao, Philippines",1
1918-11-08 04:38:09.000,44.893,151.896,15,,7.8,mw,,,east of the Kuril Islands,1
1918-12-04 11:47:50.000,-26.538,-70.608,40,,7.8,mw,,,"Atacama, Chile",1
1919-04-30 07:17:17.000,-18.352,-172.515,25,,8.1,mw,,,Tonga region,1
1923-02-03 16:01:50.000,54.486,160.472,15,,8.4,mw,,,"near the east coast of the Kamchatka Peninsula, Russia",1
1923-09-01 02:58:35.000,35.413,139.298,15,,8.1,mw,,,"near the south coast of Honshu, Japan",1
1923-09-02 02:46:41.000,35.007,139.926,15,,7.8,mw,,,"near the south coast of Honshu, Japan",1
1926-09-16 17:59:12.000,-9.504,159.451,15,,7.1,mw,,,Solomon Islands,1
1927-08-05 21:12:58.000,37.631,142.217,35,,7,mw,,,"off the east coast of Honshu, Japan",1
1927-08-18 19:27:55.000,34.463,141.469,20,,6.9,mw,,,"off the east coast of Honshu, Japan",1
1928-05-27 09:50:29.000,39.916,142.819,35,,7.2,mw,,,"near the east coast of Honshu, Japan",1
1928-06-17 03:19:34.000,16.182,-96.585,20,,7.9,mw,,,"Oaxaca, Mexico",1
1929-03-07 01:34:42.000,50.852,-169.753,15,,7.8,mw,,,south of the Aleutian Islands,1
1931-03-09 03:49:00.000,40.572,142.398,35,,7.8,mw,,,"near the east coast of Honshu, Japan",1
1931-10-03 19:13:22.000,-11.117,161.11,15,,7.9,mw,,,Solomon Islands,1
1931-11-02 10:03:04.000,31.899,132.009,35,,7.5,mw,,,"southeast of Shikoku, Japan",1
1932-06-03 10:36:56.000,19.786,-103.784,15,,8.1,mw,,,"Jalisco, Mexico",1
1932-06-22 12:59:31.000,19.373,-104.224,25,,7.7,mw,,,"Jalisco, Mexico",1
1933-03-02 17:31:00.000,39.209,144.59,15,,8.4,mw,,,"1933 Sanriku (Sanriku-oki) Earthquake, Japan",1
1933-06-18 21:37:36.000,38.083,142.484,30,,7.2,mw,,,"near the east coast of Honshu, Japan",1
1934-11-30 02:05:16.000,18.499,-105.276,15,,7.1,mw,,,"offshore Jalisco, Mexico",1
1935-10-18 00:12:00.000,40.235,144.011,15,,7.1,mw,,,"off the east coast of Honshu, Japan",1
1936-04-01 02:09:28.000,4.241,126.368,35,,7.8,mw,,,"Kepulauan Talaud, Indonesia",1
1936-07-13 11:12:18.000,-24.72,-70.11,35,,7.5,mw,,,"Antofagasta, Chile",1
1938-06-10 09:53:43.000,25.143,125.273,20,,7.7,mw,,,"southwestern Ryukyu Islands, Japan",1
1938-11-05 08:43:24.000,36.966,142.09,35,,7.8,mw,,,"off the east coast of Honshu, Japan",1
1938-11-05 10:50:18.000,37.166,142.221,35,,7.7,mw,,,"off the east coast of Honshu, Japan",1
1938-11-06 08:53:55.000,37.393,142.303,30,,7.7,mw,,,"off the east coast of Honshu, Japan",1
1938-11-06 21:38:48.000,37.019,142.43,25,,7.6,mw,,,"off the east coast of Honshu, Japan",1
1938-11-10 20:18:49.000,55.178,-158.181,35,,8.23,mw,,,Alaska Peninsula,1
1938-11-13 22:31:31.000,36.498,142.954,35,,6.9,mw,,,"off the east coast of Honshu, Japan",1
1939-03-20 03:22:27.000,32.508,131.692,25,,6.7,mw,,,"Kyushu, Japan",1
1939-05-08 01:46:52.000,37.166,-24.344,10,,6.7,mw,,,Azores Islands region,1
1939-12-26 23:57:23.000,39.771,39.577,20,,7.8,mw,,,eastern Turkey,1
1940-08-01 15:08:25.000,44.527,139.489,15,,7.5,mw,,,eastern Sea of Japan,1
1941-01-13 16:27:44.000,-4.175,152.071,15,,7.4,mw,,,"New Britain region, Papua New Guinea",1
1941-06-26 11:52:03.000,12.017,92.575,20,,7.6,mw,,,"Andaman Islands, India region",1
1941-11-18 16:46:32.000,32.095,131.949,35,,7.9,mw,,,"Kyushu, Japan",1
1943-06-13 05:11:42.000,40.982,143.315,35,,7.2,mw,,,"off the east coast of Honshu, Japan",1
1944-12-07 04:35:45.000,33.682,136.204,15,,8.1,mw,,,"near the south coast of western Honshu, Japan",1
1946-12-20 19:19:10.000,33.116,135.895,15,,8.3,mw,,,"1946 Nankai Earthquake, Japan",1
1947-11-04 00:09:14.000,44.01,140.78,15,,7,mw,,,eastern Sea of Japan,1
1948-02-09 12:58:18.000,35.631,27.153,15,,7.3,mw,,,"Dodecanese Islands, Greece",1
1948-04-17 16:11:32.000,33.145,135.706,15,,7.2,mw,,,"near the south coast of western Honshu, Japan",1
1948-04-22 10:42:47.000,38.532,20.425,15,,6.5,mw,,,Greece,1
1952-03-04 01:22:49.000,42.084,143.899,45,,8.1,mw,,,"Hokkaido, Japan region",1
1952-11-04 16:58:30.000,52.623,159.779,21.6,,9,mw,,,"off the east coast of the Kamchatka Peninsula, Russia",1
1953-11-25 17:48:55.000,34.006,141.625,25,,7.9,mw,,,"off the east coast of Honshu, Japan",1
1956-03-05 23:29:46.000,44.323,144.2,20,,6.3,mw,,,"Hokkaido, Japan region",1
1957-03-09 14:22:33.000,51.499,-175.626,25,,8.6,mw,,,"Andreanof Islands, Aleutian Islands, Alaska",1
1958-01-19 14:07:28.000,1.011,-79.489,27.5,,7.6,mw,,,near the coast of Ecuador,1
1958-11-06 22:58:09.000,44.479,148.485,35,,8.3,mw,,,Kuril Islands,1
1959-01-22 05:10:32.000,37.492,142.33,35,,7,mw,,,"off the east coast of Honshu, Japan",1
1960-03-20 17:07:31.000,39.869,143.228,15,,8,mw,,,"off the east coast of Honshu, Japan",1
1960-03-23 00:23:28.000,39.635,143.316,15,,7,mw,,,"off the east coast of Honshu, Japan",1
1960-05-22 19:11:20.000,-38.143,-73.407,25,,9.5,mw,,,1960 Great Chilean Earthquake (Valdivia Earthquake),1
1960-07-29 17:31:44.000,40.341,142.335,53.4,,6.8,mw,,,"near the east coast of Honshu, Japan",1
1961-01-16 07:20:13.000,36.121,141.758,30,,7.2,mw,,,"near the east coast of Honshu, Japan",1
1961-01-16 12:12:30.000,36.226,141.815,30,,7,mw,,,"near the east coast of Honshu, Japan",1
1961-02-12 21:53:46.000,43.823,147.697,38.1,,6.9,mw,,,Kuril Islands,1
1961-07-18 14:03:41.000,29.692,131.683,30.6,,7,mw,,,"southeast of the Ryukyu Islands, Japan",1
1961-08-11 15:51:36.000,43.056,145.101,43.9,,7.1,mw,,,"Hokkaido, Japan region",1
1962-04-12 00:52:44.000,38.022,142.789,28,,7.3,mw,,,"near the east coast of Honshu, Japan",1
1962-04-23 05:58:13.000,42.506,143.734,60,,7.1,mw,,,"Hokkaido, Japan region",1
1962-05-11 14:11:54.000,16.96,-99.741,25,,7,mw,,,"Guerrero, Mexico",1
1963-10-13 05:17:59.000,44.872,149.483,35,,8.5,mw,,,Kuril Islands,1
1964-05-07 07:58:15.000,40.328,138.969,20,,7,mw,,,eastern Sea of Japan,1
1964-06-16 04:01:43.000,38.399,139.29,15,,7.6,mw,,,"near the west coast of Honshu, Japan",1
1964-07-24 08:12:41.000,47.112,153.851,30,,6.8,mw,,,Kuril Islands,1
1964-12-10 15:11:07.000,40.41,139.128,30,,6.3,mw,,,"near the west coast of Honshu, Japan",1
1965-01-24 00:11:17.000,-2.608,125.952,20,,8.2,mw,,,"Kepulauan Sula, Indonesia",1
1965-02-04 05:01:22.000,51.251,178.715,30.3,,8.7,mw,,,"Rat Islands, Aleutian Islands, Alaska",1
1965-03-30 02:27:03.400,50.32,177.93,20,,7.65,mw,,,"Rat Islands, Aleutian Islands, Alaska",1
1965-07-02 20:58:40.000,52.99,-167.739,45,,7.8,mw,,,"Fox Islands, Aleutian Islands, Alaska",1
1965-08-11 22:31:51.000,-15.861,167.092,30,,7.6,mw,,,Vanuatu,1
1966-10-17 21:42:00.000,-10.665,-78.228,40,,8.1,mw,,,near the coast of central Peru,1
1966-12-31 18:23:09.000,-12.091,166.552,55,,7.8,mw,,,Santa Cruz Islands,1
1968-01-29 10:19:07.000,43.566,146.741,36.9,,7.4,mw,,,Kuril Islands,1
1968-02-19 22:45:45.000,39.368,24.957,15,,7.2,mw,,,Aegean Sea,1
1968-04-01 00:42:07.000,32.449,132.269,34.2,,7.5,mw,,,"Shikoku, Japan",1
1968-05-16 00:49:02.000,40.86,143.435,29.9,,8.2,mw,,,"off the east coast of Honshu, Japan",1
1968-05-16 10:39:02.000,41.43,142.864,25,,7.9,mw,,,"Hokkaido, Japan region",1
1968-08-01 20:19:22.000,16.316,122.067,25,,7.6,mw,,,"Luzon, Philippines",1
1968-08-10 02:07:06.000,1.514,126.234,23,,7.6,mw,,,Molucca Sea,1
1969-02-23 00:36:58.000,-3.201,118.904,15,,7,mw,,,"Sulawesi, Indonesia",1
1969-02-28 02:40:32.000,36.033,-10.613,10,,7.8,mw,,,Azores-Cape St. Vincent Ridge,1
1969-04-21 07:19:28.000,32.15,131.938,38.6,,7,mw,,,"Kyushu, Japan",1
1969-08-11 21:27:35.000,43.424,147.859,30,,8.2,mw,,,Kuril Islands,1
