YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,CAUSE_CODE,FOCAL_DEPTH,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE,COUNTRY,EVENT_VALIDITY
1586,7.0,10.0,0.0,30.0,,1.0,60.0,-12.3,-77.7,8.5,PERU,4
1604,11.0,24.0,18.0,30.0,,1.0,30.0,-17.88,-70.94,8.5,PERU,4
1674,2.0,17.0,11.0,30.0,,1.0,40.0,-3.75,127.75,6.8,INDONESIA,4
1687,10.0,20.0,10.0,30.0,,1.0,30.0,-13.5,-76.5,8.5,PERU,4
1746,10.0,29.0,3.0,30.0,,1.0,30.0,-11996,-77198,8.0,PERU,4
1783,2.0,5.0,12.0,0.0,,1.0,13.0,38.3,15967,6.9,ITALY,4
1841,5.0,17.0,21.0,30.0,,1.0,30.0,52,158,8.4,RUSSIA,4
1843,2.0,8.0,14.0,50.0,,1.0,33.0,16.5,-62.2,8.3,GUADELOUPE (FRENCH TERRITORY),4
1852,11.0,25.0,22.0,40.0,,1.0,100.0,-5.25,129.75,8.3,INDONESIA,4
1867,11.0,18.0,18.0,45.0,,1.0,33.0,18.1,-65.1,7.5,USA TERRITORY,4
1868,8.0,13.0,21.0,30.0,,1.0,25.0,-18.6,-71,8.5,CHILE,4
1868,10.0,18.0,12.0,35.0,,1.0,12.0,-40.2,173,7.6,NEW ZEALAND,4
1872,3.0,14.0,8.0,20.0,,1.0,33.0,34.9,132,7.4,JAPAN,4
1889,9.0,6.0,12.0,,,1.0,70.0,1,126.25,8.0,INDONESIA,4
1897,2.0,19.0,20.0,50.0,,1.0,33.0,38.1,141.9,7.4,JAPAN,4
1897,9.0,21.0,5.0,12.0,,1.0,33.0,6,122,8.7,PHILIPPINES,4
1901,8.0,9.0,9.0,23.0,30.0,1.0,33.0,40.5,142.5,7.2,JAPAN,4
1901,8.0,9.0,18.0,33.0,45.0,1.0,33.0,40.6,142.3,7.4,JAPAN,4
1901,8.0,9.0,20.0,0.0,,1.0,33.0,40.5,142.5,6.3,JAPAN,4
